member_full,office_locations,state_and_district,name,last_name,first_name,middle_name,suffix,party,capitol_address,capitol_city,capitol_state,capitol_zip,bioguide_id,office_location_ids
"VA11 Gerald E. Connolly, D","Annandale Office, Prince William Office",VA11,Gerald E. Connolly,Connolly,Gerald,E.,,D,2238 Rayburn House Office Building,Washington,DC,20515-4611,C001078,"171,172"
"VI00 Stacey E. Plaskett, D","St. Croix Office, St. Thomas Office",VI00,Stacey E. Plaskett,Plaskett,Stacey,E.,,D,331 Cannon House Office Building,Washington,DC,20515-5500,P000610,"173,174"
"VT00 Peter Welch, D",Burlington Office,VT00,Peter Welch,Welch,Peter,,,D,2303 Rayburn House Office Building,Washington,DC,20515-4500,W000800,1
"WA01 Suzan K. DelBene, D","Bothell Office, Mount Vernon Office",WA01,Suzan K. DelBene,DelBene,Suzan,K.,,D,2442 Rayburn House Office Building,Washington,DC,20515-4701,D000617,"175,176"
"WA02 Rick Larsen, D","Bellingham Office, Everett Office",WA02,Rick Larsen,Larsen,Rick,,,D,2113 Rayburn House Office Building,Washington,DC,20515-4702,L000560,"177,178"
"WA03 Jaime Herrera Beutler, R"," Vancouver Office, Chehalis Office",WA03,Jaime Herrera Beutler,Herrera Beutler,Jaime,,,R,1107 Longworth House Office Building,Washington,DC,20515-4703,H001056,"179,180"
"WA04 Dan Newhouse, R","Yakima Office, Tri-Cities Office",WA04,Dan Newhouse,Newhouse,Dan,,,R,1318 Longworth House Office Building,Washington,DC,20515-4704,N000189,"181,182"
"WA05 Cathy McMorris Rodgers, R","Colville, Spokane, Walla Walla",WA05,Cathy McMorris Rodgers,McMorris Rodgers,Cathy,,,R,1314 Longworth House Office Building,Washington,DC,20515-4705,M001159,"183,184,185"
"WA06 Derek Kilmer, D",,WA06,Derek Kilmer,Kilmer,Derek,,,D,1520 Longworth House Office Building,Washington,DC,20515-4706,K000381,
"WA07 Pramila Jayapal, D",,WA07,Pramila Jayapal,Jayapal,Pramila,,,D,319 Cannon House Office Building,Washington,DC,20515-4707,J000298,
"WA08 David G. Reichert, R",,WA08,David G. Reichert,Reichert,David,G.,,R,1127 Longworth House Office Building,Washington,DC,20515-4708,R000578,
"WA09 Adam Smith, D",,WA09,Adam Smith,Smith,Adam,,,D,2264 Rayburn House Office Building,Washington,DC,20515-4709,S000510,
"WA10 Denny Heck, D",,WA10,Denny Heck,Heck,Denny,,,D,425 Cannon House Office Building,Washington,DC,20515-4710,H001064,
"WI01 Paul D. Ryan, R","Janesville office, Kenosha office, Racine office",WI01,Paul D. Ryan,Ryan,Paul,D.,,R,1233 Longworth House Office Building,Washington,DC,20515-4901,R000570,"2,3,4"
"WI02 Mark Pocan, D",,WI02,Mark Pocan,Pocan,Mark,,,D,1421 Longworth House Office Building,Washington,DC,20515-4902,P000607,
"WI03 Ron Kind, D",,WI03,Ron Kind,Kind,Ron,,,D,1502 Longworth House Office Building,Washington,DC,20515-4903,K000188,
"WI04 Gwen Moore, D",,WI04,Gwen Moore,Moore,Gwen,,,D,2252 Rayburn House Office Building,Washington,DC,20515-4904,M001160,
"WI05 F. James Sensenbrenner, Jr., R",,WI05,"F. James Sensenbrenner, Jr.",Sensenbrenner,F.,James,Jr.,R,2449 Rayburn House Office Building,Washington,DC,20515-4905,S000244,
"WI06 Glenn Grothman, R",,WI06,Glenn Grothman,Grothman,Glenn,,,R,1217 Longworth House Office Building,Washington,DC,20515-4906,G000576,
"WI07 Sean P. Duffy, R",,WI07,Sean P. Duffy,Duffy,Sean,P.,,R,2330 Rayburn House Office Building,Washington,DC,20515-4907,D000614,
"WI08 Mike Gallagher, R",,WI08,Mike Gallagher,Gallagher,Mike,,,R,1007 Longworth House Office Building,Washington,DC,20515-4908,G000579,
"WV01 David B. McKinley, R",,WV01,David B. McKinley,McKinley,David,B.,,R,2239 Rayburn House Office Building,Washington,DC,20515-4801,M001180,
"WV02 Alexander X. Mooney, R",,WV02,Alexander X. Mooney,Mooney,Alexander,X.,,R,1232 Longworth House Office Building,Washington,DC,20515-4802,M001195,
"WV03 Evan H. Jenkins, R",,WV03,Evan H. Jenkins,Jenkins,Evan,H.,,R,1609 Longworth House Office Building,Washington,DC,20515-4803,J000297,
"WY00 Liz Cheney, R",,WY00,Liz Cheney,Cheney,Liz,,,R,416 Cannon House Office Building,Washington,DC,20515-5000,C001109,
